Company Name,Website URL,LinkedIn Profile URL,Employee Size,error
Aloyt Technology Company,https://www.aloyt.com/,https://in.linkedin.com/company/aloyt,51-200a,Incorrect Employee Size
Arrk Solutions Pvt Ltd,arrkgroup,https://uk.linkedin.com/company/arrk-group,51-200,Incorrect website URL
Learnfreakout Digital Solutions Pvt Ltd,i/FriendsLearn,https://www.linkedin.com/posts/learnflu-edutech_tothenewera-learnflu-inauguration-activity-7154712871237488640-4QaT,11-50,Incorrect website URL
Spicetech India,https://www.spicetech.com/,https://in.linkedin.com/company/spicetech,11-l50,Incorrect Employee Size
Mindtree,https://www.mindtree.com/,[invalid URL removed],10000M+,Incorrect LinkedIn URL / Incorrect Employee Size
Wipro,https://www.wipro.com/,[invalid URL removed],10000+,Incorrect LinkedIn URL
