Company Name,Website URL,LinkedIn Profile URL,Employee Size
Datamatics Global Services Ltd,https://www.datamatics.com/,https://www.linkedin.com/company/datamatics,5001-10000
Course5i,https://www.c5i.ai/,https://www.linkedin.com/company/course5-intelligence-private-limited,201-500
Shujabits Infotech Solution Private Limited,https://www.sbits.co/,https://in.linkedin.com/company/shujabits,11-50
Fafadia Tech,https://www.fafadiatech.com/,https://in.linkedin.com/company/fafadia-tech,11-50
Dgtl Innovations LLP,https://www.dgtl.co.in/,https://in.linkedin.com/company/dgtl-innovations-llp,11-50
Alca Media Private Limited,https://www.myalca.com/,https://in.linkedin.com/company/alcamedia,11-50
https://tcs.com,https://www.tcs.com/,https://www.linkedin.com/company/tata-consultancy-services,10000+
HCLTech,https://www.hcltech.com/,https://www.linkedin.com/company/hcltech,10000+
Infosys,https://www.infosys.com/,https://www.linkedin.com/company/infosys,10000+
